Item,gender,age,Education,monthly income,Working years,TQI1,TQI2,TQI3,TQI4,DII1,DII2,DII3,DII4,CEC1,CEC2,CEC3,CEC4,RD1,RD2,RD3,RD4,CSI1,CSI2,CSI3,CSI4,CBO1,CBO2,CBO3,CBO4,CBO5,CBO6,TQI,DI,CEC,RD,CSI,CBO
问卷1,1,1,1,2,2,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5.00,4.75,5.00,5.00,5.00,4.17
问卷2,2,2,3,2,2,4,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.75,5.25,5.00,5.00,5.00,5.00
问卷3,2,2,2,2,2,4,7,4,7,6,7,7,7,5,5,3,4,4,7,5,5,3,4,3,4,3,1,1,5,6,5,5.50,6.75,4.25,5.25,3.50,3.50
问卷4,1,2,2,2,1,5,7,7,7,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6.50,4.25,5.00,5.00,5.00,5.00
问卷5,1,2,2,2,1,4,4,5,4,6,5,5,5,1,1,1,1,1,5,1,1,1,1,1,1,4,5,5,5,5,1,4.25,5.25,1.00,2.00,1.00,4.17
问卷6,2,3,2,2,1,5,5,5,5,6,7,5,3,5,5,5,5,5,7,5,5,5,5,5,5,4,7,4,7,6,5,5.00,5.25,5.00,5.50,5.00,5.50
问卷7,2,4,2,1,2,5,7,5,5,5,5,5,6,5,4,4,4,4,6,5,4,4,4,4,4,4,7,4,4,5,5,5.50,5.25,4.25,4.75,4.00,4.83
问卷8,2,3,1,1,2,7,5,5,5,5,5,4,5,5,7,7,7,7,5,5,7,7,7,7,7,5,7,5,5,6,5,5.50,4.75,6.50,6.00,7.00,5.50
问卷9,1,1,2,1,2,5,7,7,7,5,5,5,5,4,4,5,4,4,5,4,4,5,4,5,4,6,7,7,7,6,4,6.50,5.00,4.25,4.25,4.50,6.17
问卷10,1,2,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,7,5,7,7,5,5,5.00,5.00,5.00,5.25,5.00,6.00
问卷11,1,2,2,1,1,5,5,5,5,5,4,5,5,5,7,5,5,5,5,5,7,5,5,5,5,6,5,5,5,5,5,5.00,4.75,5.50,5.50,5.00,5.17
问卷12,1,1,1,1,1,5,4,4,4,6,5,6,7,7,5,5,5,5,5,7,5,5,5,5,5,5,5,5,5,5,7,4.25,6.00,5.50,5.50,5.00,5.33
问卷13,1,1,2,2,1,7,7,7,7,5,5,5,5,5,7,7,7,7,5,5,7,7,7,7,7,5,7,5,7,5,5,7.00,5.00,6.50,6.00,7.00,5.67
问卷14,2,1,2,2,2,5,4,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,4.75,4.50,5.00,5.00,5.00,4.50
问卷15,2,1,2,4,2,5,3,3,3,7,5,5,6,5,5,5,5,5,6,5,5,5,5,5,5,5,7,7,5,6,5,3.50,5.75,5.00,5.25,5.00,5.83
问卷16,2,2,2,1,2,5,5,5,5,5,7,7,7,5,4,4,4,4,7,5,4,4,4,4,4,5,7,5,5,5,5,5.00,6.50,4.25,5.00,4.00,5.33
问卷17,1,2,2,2,5,7,7,7,7,4,4,5,4,7,7,7,7,7,5,7,7,7,7,7,7,5,5,5,5,5,7,7.00,4.25,7.00,6.50,7.00,5.33
问卷18,2,2,2,3,3,5,4,4,4,5,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,4,5,5,5,4.25,4.75,4.75,4.75,5.00,4.67
问卷19,1,1,1,3,3,5,5,5,4,5,3,3,3,5,3,3,3,3,5,5,3,3,3,3,3,3,5,3,3,3,5,4.75,3.50,3.50,4.00,3.00,3.67
问卷20,2,2,2,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.00,5.00,5.00
问卷21,1,1,3,2,1,4,4,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4.50,7.00,7.00,7.00,7.00,7.00
问卷22,1,2,1,2,1,3,3,3,5,5,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,5,3.50,4.25,4.25,4.50,4.00,4.33
问卷23,2,1,1,1,2,5,4,4,4,5,5,5,4,5,5,5,4,4,5,5,5,5,4,5,4,5,5,5,5,4,5,4.25,4.75,4.75,4.75,4.50,4.83
问卷24,1,3,1,2,2,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.25,5.00,5.00,5.00,5.00,5.00
问卷25,1,3,2,4,2,5,5,5,5,4,4,5,5,4,4,5,5,5,4,4,4,5,5,5,5,4,4,4,5,5,4,5.00,4.50,4.50,4.25,5.00,4.33
问卷26,1,3,2,4,3,5,5,4,4,3,3,3,5,3,3,3,5,5,3,3,3,3,5,3,5,3,3,3,3,5,3,4.50,3.50,3.50,3.50,4.00,3.33
问卷27,2,1,2,2,1,4,4,2,2,5,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,5,3.00,4.25,4.25,4.50,4.00,4.33
问卷28,2,1,2,3,1,5,5,5,5,4,4,5,4,4,4,5,4,4,4,4,4,5,4,5,4,4,4,4,5,4,4,5.00,4.25,4.25,4.00,4.50,4.17
问卷29,1,1,2,2,1,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.25,5.00,5.00,5.00,5.00,5.00
问卷30,1,1,1,4,2,3,4,4,4,5,5,4,4,5,5,4,4,4,5,5,5,4,4,4,4,5,5,5,4,4,5,3.75,4.50,4.50,4.75,4.00,4.67
问卷31,1,2,1,3,2,5,5,5,5,4,4,2,2,4,4,2,2,2,4,4,4,2,2,2,2,4,4,4,2,2,4,5.00,3.00,3.00,3.50,2.00,3.33
问卷32,2,2,4,1,2,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.50,5.00,5.00,5.00,5.00,5.00
问卷33,1,1,1,1,5,3,3,4,4,5,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,5,3.50,4.25,4.25,4.50,4.00,4.33
问卷34,1,4,1,2,3,5,5,5,5,3,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,3,5.00,3.75,3.75,3.50,4.00,3.67
问卷35,1,3,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.00,5.00,5.00
问卷36,2,3,1,2,4,5,5,5,5,5,4,5,4,5,4,5,4,4,5,5,4,5,4,5,4,4,5,4,5,4,5,5.00,4.50,4.50,4.50,4.50,4.50
问卷37,1,3,1,4,5,7,7,7,7,3,3,4,4,3,3,4,4,4,3,3,3,4,4,4,4,3,3,3,4,4,3,7.00,3.50,3.50,3.25,4.00,3.33
问卷38,2,3,1,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.00,5.00,5.00
问卷39,2,2,1,1,1,5,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6.50,5.00,5.00,5.00,5.00,5.00
问卷40,1,1,2,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.00,5.00,5.00
问卷41,2,2,2,2,5,4,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3.25,7.00,7.00,7.00,7.00,7.00
问卷42,2,1,2,1,2,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6.00,5.00,5.00,5.00,5.00,5.00
问卷43,2,1,2,2,2,5,4,5,4,5,7,7,7,5,7,7,7,7,5,5,7,7,7,7,7,7,5,7,7,7,5,4.50,6.50,6.50,6.00,7.00,6.33
问卷44,2,2,2,2,2,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.50,5.00,5.00,5.00,5.00,5.00
问卷45,1,2,1,4,5,4,3,4,4,4,3,3,3,4,3,3,3,3,4,4,3,3,3,3,3,3,4,3,3,3,4,3.75,3.25,3.25,3.50,3.00,3.33
问卷46,2,4,1,4,5,5,5,5,5,7,7,5,5,7,7,5,5,5,7,7,7,5,5,5,5,7,7,7,5,5,7,5.00,6.00,6.00,6.50,5.00,6.33
问卷47,2,2,1,4,5,5,4,4,4,5,4,5,4,5,4,5,4,4,5,5,4,5,4,5,4,4,5,4,5,4,5,4.25,4.50,4.50,4.50,4.50,4.50
问卷48,2,4,1,3,3,5,4,4,4,7,5,5,5,7,5,5,5,5,7,7,5,5,5,5,5,5,7,5,5,5,7,4.25,5.50,5.50,6.00,5.00,5.67
问卷49,1,1,1,1,2,5,5,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,4.50,3.75,3.75,3.75,4.00,3.67
问卷50,1,3,1,1,2,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.50,5.00,5.00,5.00,5.00,5.00
问卷51,1,2,1,2,2,5,5,4,5,5,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,5,4.75,4.25,4.25,4.50,4.00,4.33
问卷52,1,1,1,2,2,5,5,5,5,5,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,5,5.00,4.25,4.25,4.50,4.00,4.33
问卷53,2,1,1,1,3,5,5,5,5,5,5,4,4,5,5,4,4,4,5,5,5,4,4,4,4,5,5,5,4,4,5,5.00,4.50,4.50,4.75,4.00,4.67
问卷54,2,1,2,2,3,5,5,5,5,5,5,4,4,5,5,4,4,4,5,5,5,4,4,4,4,5,5,5,4,4,5,5.00,4.50,4.50,4.75,4.00,4.67
问卷55,2,4,2,2,3,5,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,4,5,4,5,5,5,5,4,5,5,4.75,4.75,4.75,5.00,4.50,4.83
问卷56,2,1,2,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.00,5.00,5.00
问卷57,2,2,2,1,1,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.25,5.00,5.00,5.00,5.00,5.00
问卷58,2,2,2,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.00,5.00,5.00
问卷59,1,1,2,2,3,7,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,5,4,5,4,5,5,5,5,4,5,5.50,4.75,4.75,4.75,4.50,4.83
问卷60,2,1,2,4,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.75,5.00,5.00,5.00,5.00,5.00
问卷61,1,1,2,3,1,4,3,3,3,5,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,5,3.25,4.25,4.25,4.50,4.00,4.33
问卷62,2,2,2,3,2,5,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3.75,5.00,5.00,5.00,5.00,5.00
问卷63,1,1,2,5,2,5,4,5,5,7,5,5,5,7,5,5,5,5,7,7,5,5,5,5,5,5,7,5,5,5,7,4.75,5.50,5.50,6.00,5.00,5.67
问卷64,2,3,1,3,2,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,4,5,5,5,5.00,4.75,4.75,4.75,5.00,4.67
问卷65,1,2,1,1,3,5,5,5,5,4,3,3,3,4,3,3,3,3,4,4,3,3,3,3,3,3,4,3,3,3,4,5.00,3.25,3.25,3.50,3.00,3.33
问卷66,1,1,1,2,1,5,7,7,7,5,4,3,3,5,4,3,3,3,5,5,4,3,3,3,3,4,5,4,3,3,5,6.50,3.75,3.75,4.25,3.00,4.00
问卷67,2,1,1,2,1,7,5,7,7,5,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,4,5,5,5,6.50,4.75,4.75,4.75,5.00,4.67
问卷68,2,4,1,2,2,5,4,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3.25,5.00,5.00,5.00,5.00,5.00
问卷69,2,2,4,1,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.75,5.00,5.00,5.00,5.00,5.00
问卷70,1,1,1,4,2,7,5,5,5,5,7,7,7,5,7,7,7,7,5,5,7,7,7,7,7,7,5,7,7,7,5,5.50,6.50,6.50,6.00,7.00,6.33
问卷71,1,2,2,5,3,5,5,5,5,7,5,7,7,7,5,7,7,7,7,7,5,7,7,7,7,5,7,5,7,7,7,5.00,6.50,6.50,6.50,7.00,6.33
问卷72,2,2,2,2,1,5,4,3,5,5,4,2,2,5,4,2,2,2,5,5,4,2,2,2,2,4,5,4,2,2,5,4.25,3.25,3.25,4.00,2.00,3.67
问卷73,2,3,2,2,1,7,5,5,5,5,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,4,5,5,5,5.50,4.75,4.75,4.75,5.00,4.67
问卷74,2,1,2,2,1,5,5,5,5,7,5,5,5,7,5,5,5,5,7,7,5,5,5,5,5,5,7,5,5,5,7,5.00,5.50,5.50,6.00,5.00,5.67
问卷75,1,1,2,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.00,5.00,5.00
问卷76,1,3,4,2,2,5,5,5,5,5,4,3,5,5,4,3,5,5,5,5,4,3,5,3,5,4,5,4,3,5,5,5.00,4.25,4.25,4.75,4.00,4.33
问卷77,2,1,1,3,2,5,5,5,4,7,5,5,5,7,5,5,5,5,7,7,5,5,5,5,5,5,7,5,5,5,7,4.75,5.50,5.50,6.00,5.00,5.67
问卷78,1,4,1,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.00,5.00,5.00
问卷79,2,2,1,4,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.25,5.00,5.00,5.00,5.00,5.00
问卷80,1,1,2,2,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.75,5.00,5.00,5.00,5.00,5.00
问卷81,2,1,2,1,3,5,4,4,4,5,5,5,4,5,5,5,4,4,5,5,5,5,4,5,4,5,5,5,5,4,5,4.25,4.75,4.75,4.75,4.50,4.83
问卷82,2,4,2,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.50,5.00,5.00,5.00,5.00,5.00
问卷83,2,2,2,1,2,5,5,5,5,5,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,5,5.00,4.25,4.25,4.50,4.00,4.33
问卷84,2,1,2,2,2,5,4,4,4,4,5,5,5,4,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,5,4,4.25,4.75,4.75,4.50,5.00,4.67
问卷85,2,2,1,2,2,5,7,5,3,5,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,5,5.00,4.25,4.25,4.50,4.00,4.33
问卷86,1,2,2,2,1,4,4,3,4,4,4,5,5,4,4,5,5,5,4,4,4,5,5,5,5,4,4,4,5,5,4,3.75,4.50,4.50,4.25,5.00,4.33
问卷87,1,1,2,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.50,5.00,5.00,5.00,5.00,5.00
