Item,gender,age,Education,monthly income,Working years,TQI1,TQI2,TQI3,TQI4,DII1,DII2,DII3,DII4,CEC1,CEC2,CEC3,CEC4,RD1,RD2,RD3,RD4,CSI1,CSI2,CSI3,CSI4,CBO1,CBO2,CBO3,CBO4,CBO5,CBO6,TQI,DI,CEC,RD,CSI,CBO
问卷144,2,1,1,2,2,6,4,5,5,6,4,5,5,6,4,5,5,5,6,6,4,5,5,5,5,4,6,4,5,5,6,5.00,5.00,5.00,5.25,5.00,5.00
问卷145,2,1,3,1,3,5,4,4,4,5,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,5,4.25,4.25,4.25,4.50,4.00,4.33
问卷146,2,2,3,3,3,2,5,5,5,2,5,5,5,2,5,5,5,5,2,2,5,5,5,5,5,5,2,5,5,5,2,4.25,4.25,4.25,3.50,5.00,4.00
问卷147,1,1,1,4,2,6,6,5,4,6,6,5,4,6,6,5,4,4,6,6,6,5,4,5,4,6,6,6,5,4,6,5.25,5.25,5.25,5.50,4.50,5.50
问卷148,1,1,1,3,2,3,7,7,7,3,7,7,7,3,7,7,7,7,3,3,7,7,7,7,7,7,3,7,7,7,3,6.00,6.00,6.00,5.00,7.00,5.67
问卷149,1,1,2,4,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.00,6.00,6.00,6.00,6.00,6.00
问卷150,2,1,2,4,3,3,5,5,5,3,5,5,5,3,5,5,5,5,3,3,5,5,5,5,5,5,3,5,5,5,3,4.50,4.50,4.50,4.00,5.00,4.33
问卷151,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.00,4.00,4.00,4.00,4.00,4.00
问卷152,1,1,1,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.00,6.00,6.00,6.00,6.00,6.00
问卷153,1,1,3,1,2,7,1,5,7,7,1,5,7,7,1,5,7,7,7,7,1,5,7,5,7,1,7,1,5,7,7,5.00,5.00,5.00,5.50,6.00,4.67
问卷154,1,1,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.00,4.00,4.00,4.00,4.00,4.00
问卷155,1,2,4,2,2,6,5,6,6,6,5,6,6,6,5,6,6,6,6,6,5,6,6,6,6,5,6,5,6,6,6,5.75,5.75,5.75,5.75,6.00,5.67
问卷156,2,2,4,1,2,5,5,6,5,5,5,6,5,5,5,6,5,5,5,5,5,6,5,6,5,5,5,5,6,5,5,5.25,5.25,5.25,5.00,5.50,5.17
问卷157,2,2,2,2,3,3,6,5,5,3,6,5,5,3,6,5,5,5,3,3,6,5,5,5,5,6,3,6,5,5,3,4.75,4.75,4.75,4.25,5.00,4.67
问卷158,2,1,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.00,7.00,7.00,7.00,7.00,7.00
问卷159,1,1,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.00,5.00,5.00
问卷160,1,2,2,3,2,5,3,5,5,5,3,5,5,5,3,5,5,5,5,5,3,5,5,5,5,3,5,3,5,5,5,4.50,4.50,4.50,4.50,5.00,4.33
问卷161,1,2,2,4,4,6,6,6,4,6,6,6,4,6,6,6,4,4,6,6,6,6,4,6,4,6,6,6,6,4,6,5.50,5.50,5.50,5.50,5.00,5.67
问卷162,2,2,3,3,3,5,4,4,4,5,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,5,4.25,4.25,4.25,4.50,4.00,4.33
问卷163,2,2,3,5,2,7,5,6,6,7,5,6,6,7,5,6,6,6,7,7,5,6,6,6,6,5,7,5,6,6,7,6.00,6.00,6.00,6.25,6.00,6.00
问卷164,1,2,3,4,3,6,4,6,4,6,4,6,4,6,4,6,4,4,6,6,4,6,4,6,4,4,6,4,6,4,6,5.00,5.00,5.00,5.00,5.00,5.00
问卷165,2,2,3,1,4,5,6,6,6,5,6,6,6,5,6,6,6,6,5,5,6,6,6,6,6,6,5,6,6,6,5,5.75,5.75,5.75,5.50,6.00,5.67
问卷166,2,1,1,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.00,6.00,6.00,6.00,6.00,6.00
问卷167,1,1,1,2,2,4,5,6,5,4,5,6,5,4,5,6,5,5,4,4,5,6,5,6,5,5,4,5,6,5,4,5.00,5.00,5.00,4.50,5.50,4.83
问卷168,1,2,4,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.00,5.00,5.00
问卷169,1,2,2,2,2,6,5,4,4,6,5,4,4,6,5,4,4,4,6,6,5,4,4,4,4,5,6,5,4,4,6,4.75,4.75,4.75,5.25,4.00,5.00
问卷170,1,2,2,2,3,7,6,6,6,7,6,6,6,7,6,6,6,6,7,7,6,6,6,6,6,6,7,6,6,6,7,6.25,6.25,6.25,6.50,6.00,6.33
问卷171,2,2,2,2,4,4,5,5,5,4,5,5,5,4,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,5,4,4.75,4.75,4.75,4.50,5.00,4.67
问卷172,2,2,2,2,3,4,6,6,6,4,6,6,6,4,6,6,6,6,4,4,6,6,6,6,6,6,4,6,6,6,4,5.50,5.50,5.50,5.00,6.00,5.33
问卷173,2,2,2,1,3,4,6,6,6,4,6,6,6,4,6,6,6,6,4,4,6,6,6,6,6,6,4,6,6,6,4,5.50,5.50,5.50,5.00,6.00,5.33
问卷174,2,1,1,2,3,6,5,5,5,6,5,5,5,6,5,5,5,5,6,6,5,5,5,5,5,5,6,5,5,5,6,5.25,5.25,5.25,5.50,5.00,5.33
问卷175,1,1,1,1,4,4,5,5,5,4,5,5,5,4,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,5,4,4.75,4.75,4.75,4.50,5.00,4.67
问卷176,1,2,1,2,4,6,5,5,5,6,5,5,5,6,5,5,5,5,6,6,5,5,5,5,5,5,6,5,5,5,6,5.25,5.25,5.25,5.50,5.00,5.33
问卷177,1,2,4,2,4,6,5,6,5,6,5,6,5,6,5,6,5,5,6,6,5,6,5,6,5,5,6,5,6,5,6,5.50,5.50,5.50,5.50,5.50,5.50
问卷178,1,2,4,2,3,5,6,6,6,5,6,6,6,5,6,6,6,6,5,5,6,6,6,6,6,6,5,6,6,6,5,5.75,5.75,5.75,5.50,6.00,5.67
问卷179,1,1,2,2,2,5,6,7,7,5,6,7,7,5,6,7,7,7,5,5,6,7,7,7,7,6,5,6,7,7,5,6.25,6.25,6.25,5.75,7.00,6.00
问卷180,2,2,2,3,3,5,4,4,4,5,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,5,4.25,4.25,4.25,4.50,4.00,4.33
问卷181,1,4,4,2,2,5,6,6,6,5,6,6,6,5,6,6,6,6,5,5,6,6,6,6,6,6,5,6,6,6,5,5.75,5.75,5.75,5.50,6.00,5.67
问卷182,2,2,1,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.00,6.00,6.00,6.00,6.00,6.00
问卷183,2,4,2,1,3,5,4,5,5,5,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,4,5,5,5,4.75,4.75,4.75,4.75,5.00,4.67
问卷184,2,2,2,3,4,6,6,4,6,6,6,4,6,6,6,4,6,6,6,6,6,4,6,4,6,6,6,6,4,6,6,5.50,5.50,5.50,6.00,5.00,5.67
问卷185,2,1,2,5,2,5,5,6,6,5,5,6,6,5,5,6,6,6,5,5,5,6,6,6,6,5,5,5,6,6,5,5.50,5.50,5.50,5.25,6.00,5.33
问卷186,2,1,2,4,3,6,5,6,6,6,5,6,6,6,5,6,6,6,6,6,5,6,6,6,6,5,6,5,6,6,6,5.75,5.75,5.75,5.75,6.00,5.67
问卷187,1,3,1,4,3,2,4,4,4,2,4,4,4,2,4,4,4,4,2,2,4,4,4,4,4,4,2,4,4,4,2,3.50,3.50,3.50,3.00,4.00,3.33
问卷188,1,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.00,4.00,4.00,4.00,4.00,4.00
问卷189,1,2,2,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.00,6.00,6.00,6.00,6.00,6.00
问卷190,1,2,2,2,3,1,6,6,7,1,6,6,7,1,6,6,7,7,1,1,6,6,7,6,7,6,1,6,6,7,1,5.00,5.00,5.00,3.75,6.50,4.50
问卷191,1,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.00,6.00,6.00,6.00,6.00,6.00
问卷192,1,2,1,2,3,6,7,7,7,6,7,7,7,6,7,7,7,7,6,6,7,7,7,7,7,7,6,7,7,7,6,6.75,6.75,6.75,6.50,7.00,6.67
问卷193,2,1,1,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.00,6.00,6.00,6.00,6.00,6.00
问卷194,2,1,2,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.00,5.00,5.00
问卷195,1,2,2,4,2,4,5,6,7,4,5,6,7,4,5,6,7,7,4,4,5,6,7,6,7,5,4,5,6,7,4,5.50,5.50,5.50,5.00,6.50,5.17
问卷196,2,2,2,2,3,4,5,5,5,4,5,5,5,4,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,5,4,4.75,4.75,4.75,4.50,5.00,4.67
问卷197,1,2,2,1,3,4,4,5,5,4,4,5,5,4,4,5,5,5,4,4,4,5,5,5,5,4,4,4,5,5,4,4.50,4.50,4.50,4.25,5.00,4.33
问卷198,1,1,2,2,3,5,4,6,5,5,4,6,5,5,4,6,5,5,5,5,4,6,5,6,5,4,5,4,6,5,5,5.00,5.00,5.00,4.75,5.50,4.83
问卷199,1,1,2,2,3,5,4,4,4,5,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,5,4.25,4.25,4.25,4.50,4.00,4.33
问卷200,1,3,2,3,3,6,4,5,5,6,4,5,5,6,4,5,5,5,6,6,4,5,5,5,5,4,6,4,5,5,6,5.00,5.00,5.00,5.25,5.00,5.00
问卷201,1,2,2,5,3,5,4,4,6,5,4,4,6,5,4,4,6,6,5,5,4,4,6,4,6,4,5,4,4,6,5,4.75,4.75,4.75,5.00,5.00,4.67
问卷202,1,2,1,4,3,4,7,7,7,4,7,7,7,4,7,7,7,7,4,4,7,7,7,7,7,7,4,7,7,7,4,6.25,6.25,6.25,5.50,7.00,6.00
问卷203,1,2,1,3,2,3,4,4,5,3,4,4,5,3,4,4,5,5,3,3,4,4,5,4,5,4,3,4,4,5,3,4.00,4.00,4.00,3.75,4.50,3.83
问卷204,2,2,1,4,3,5,6,5,5,5,6,5,5,5,6,5,5,5,5,5,6,5,5,5,5,6,5,6,5,5,5,5.25,5.25,5.25,5.25,5.00,5.33
问卷205,2,2,4,1,3,3,5,3,5,3,5,3,5,3,5,3,5,5,3,3,5,3,5,3,5,5,3,5,3,5,3,4.00,4.00,4.00,4.00,4.00,4.00
问卷206,2,3,1,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.00,6.00,6.00,6.00,6.00,6.00
问卷207,1,1,2,2,3,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,3,4,4,3.75,3.75,3.75,4.00,3.50,3.83
